time, lambda, packet_interval
74425.682, 3.267, 306.000
74733.063, 3.783, 264.000
74998.199, 4.042, 247.000
75246.287, 2.171, 460.000
75707.567, 3.235, 309.000
76017.914, 3.768, 265.000
76284.158, 4.034, 247.000
76532.437, 2.167, 461.000
76994.932, 3.233, 309.000
77305.109, 3.767, 265.000
77571.462, 4.033, 247.000
77819.702, 4.167, 239.000
78059.589, 3.233, 309.000
