time (ms), buffer_size
1712967701853.990, 4096
1712967701928.273, 8192
1712967701990.221, 12288
1712967702046.083, 12288
1712967702097.128, 16384
1712967702147.146, 20480
1712967702196.990, 24576
1712967702247.654, 28672
1712967702300.333, 32768
1712967702359.096, 32768
1712967702425.033, 36864
1712967702500.189, 40960
1712967702591.183, 45056
1712967702709.338, 45056
1712967702872.585, 49152
1712967703197.455, 49152
1712967706522.683, 8192
1712967706755.361, 8192
1712967706882.346, 12288
1712967706976.238, 16384
1712967707059.030, 16384
1712967707133.776, 20480
1712967707204.763, 24576
1712967707275.615, 28672
1712967707348.803, 32768
1712967707430.056, 32768
1712967707519.166, 36864
1712967707623.339, 40960
1712967707753.598, 40960
1712967707920.903, 45056
1712967708177.377, 45056
1712967708663.536, 40960
1712967709796.725, 32768
1712967711011.043, 20480
1712967711372.300, 20480
1712967711594.473, 20480
1712967711758.511, 20480
1712967711891.636, 24576
1712967712012.778, 28672
1712967712130.884, 28672
1712967712247.069, 32768
1712967712375.268, 32768
1712967712517.817, 36864
1712967712687.901, 36864
1712967712894.619, 40960
1712967713189.925, 40960
1712967713670.176, 36864
1712967714382.193, 32768
1712967715155.201, 28672
1712967715611.183, 24576
1712967715897.312, 24576
1712967716111.420, 28672
1712967716302.303, 28672
1712967716476.306, 28672
1712967716638.501, 32768
1712967716817.844, 32768
1712967717015.100, 36864
1712967717259.345, 36864
1712967717570.673, 36864
1712967717982.670, 36864
1712967718564.628, 32768
1712967719198.461, 28672
1712967719607.703, 24576
1712967719876.075, 28672
1712967720104.246, 28672
1712967720305.673, 28672
1712967720487.889, 32768
1712967720689.476, 32768
1712967720911.469, 32768
1712967721155.426, 32768
1712967721424.702, 36864
1712967721772.889, 32768
1712967722154.949, 32768
1712967722574.091, 32768
1712967723033.226, 28672
1712967723368.109, 28672
1712967723637.373, 28672
1712967723866.602, 32768
1712967724119.044, 32768
1712967724397.357, 32768
1712967724703.480, 32768
1712967725039.863, 32768
1712967725410.151, 32768
1712967725816.369, 32768
1712967726261.647, 28672
1712967726589.922, 28672
1712967726855.182, 28672
1712967727081.487, 28672
1712967727281.535, 32768
1712967727501.732, 32768
1712967727744.899, 32768
1712967728013.110, 36864
1712967728359.158, 32768
1712967728739.345, 32768
1712967729156.591, 32768
1712967729613.659, 28672
1712967729946.867, 28672
1712967730215.073, 28672
1712967730443.413, 32768
1712967730695.767, 32768
1712967730972.749, 32768
1712967731277.845, 32768
1712967731614.245, 32768
1712967731983.253, 32768
1712967732388.627, 32768
1712967732833.027, 28672
1712967733160.158, 28672
1712967733425.378, 28672
1712967733651.707, 28672
1712967733851.950, 32768
1712967734072.022, 32768
1712967734315.428, 32768
1712967734583.840, 36864
1712967734930.256, 32768
1712967735309.706, 32768
1712967735725.979, 32768
1712967736182.305, 28672
1712967736515.706, 28672
1712967736784.014, 28672
1712967737012.051, 32768
1712967737264.320, 32768
1712967737541.480, 32768
1712967737847.080, 32768
1712967738183.453, 32768
1712967738552.742, 32768
1712967738957.994, 32768
1712967739402.331, 28672
1712967739729.840, 28672
1712967739994.956, 28672
1712967740221.201, 32768
1712967740470.452, 32768
1712967740744.543, 32768
1712967741046.617, 32768
1712967741378.525, 32768
1712967741743.874, 32768
1712967742144.821, 28672
1712967742450.907, 28672
1712967742702.920, 32768
1712967742979.988, 32768
1712967743284.949, 32768
1712967743621.340, 32768
1712967743990.285, 28672
1712967744278.637, 32768
1712967744595.758, 32768
1712967744944.978, 28672
1712967745221.959, 32768
1712967745527.456, 32768
1712967745863.787, 28672
1712967746134.320, 32768
1712967746431.944, 32768
1712967746759.178, 32768
1712967747118.507, 28672
1712967747401.792, 32768
1712967747713.026, 32768
1712967748055.025, 28672
1712967748329.068, 32768
1712967748630.593, 32768
1712967748961.811, 32768
1712967749325.782, 28672
1712967749612.140, 32768
1712967749926.346, 32768
1712967750272.703, 28672
1712967750548.272, 32768
1712967750851.745, 32768
1712967751184.990, 28672
1712967751453.321, 32768
1712967751749.625, 32768
1712967752074.658, 32768
1712967752432.019, 28672
1712967752714.175, 32768
1712967753024.448, 32768
1712967753365.660, 32768
1712967753740.889, 28672
1712967754033.005, 28672
1712967754276.432, 32768
1712967754544.825, 32768
1712967754840.463, 32768
1712967755165.823, 32768
1712967755523.397, 32768
1712967755915.749, 28672
1712967756217.138, 28672
1712967756466.477, 32768
1712967756740.817, 32768
1712967757042.975, 32768
1712967757375.419, 32768
1712967757740.529, 32768
1712967758140.695, 28672
1712967758445.852, 28672
1712967758698.123, 28672
1712967758915.692, 32768
1712967759156.291, 32768
1712967759420.770, 32768
1712967759711.928, 32768
1712967760032.231, 32768
1712967760384.738, 32768
1712967760771.064, 32768
1712967761195.660, 28672
1712967761513.111, 28672
1712967761772.746, 32768
1712967762057.835, 32768
1712967762372.213, 32768
1712967762717.375, 32768
1712967763096.684, 28672
1712967763390.773, 28672
1712967763636.308, 32768
1712967763905.714, 32768
1712967764203.015, 32768
1712967764529.511, 32768
1712967764888.925, 32768
1712967765283.251, 28672
1712967765585.406, 28672
1712967765834.455, 32768
1712967766109.698, 32768
1712967766412.982, 32768
1712967766746.575, 32768
1712967767113.084, 32768
1712967767514.430, 28672
1712967767820.711, 28672
1712967768073.161, 32768
1712967768351.237, 32768
1712967768656.663, 32768
1712967768993.040, 32768
1712967769362.066, 28672
1712967769651.216, 28672
1712967769892.608, 31484
1712967770127.784, 27388
1712967770127.851, 27388
1712967770127.900, 27388
1712967770127.947, 27388
