time, lambda, packet_interval
73859.898, 3.310, 302.000
74163.181, 3.009, 332.000
74496.892, 2.738, 365.000
74863.295, 2.495, 400.000
75264.620, 3.275, 305.000
75570.909, 3.978, 251.000
75823.393, 3.610, 277.000
76101.438, 3.279, 304.000
76406.978, 2.981, 335.000
76743.264, 2.713, 368.000
77112.253, 3.472, 288.000
77401.439, 4.154, 240.000
77642.836, 4.269, 234.000
