time, lambda, packet_interval
0.000, 13.530, 73.000
3159.875, 16.207, 61.000
3222.019, 18.116, 55.000
3278.761, 19.835, 50.000
3329.654, 20.381, 49.000
3379.593, 20.373, 49.000
3429.586, 19.866, 50.000
3480.467, 18.909, 52.000
3533.407, 17.048, 58.000
3592.351, 15.373, 65.000
3658.172, 13.366, 74.000
3733.186, 11.059, 90.000
3823.791, 8.484, 117.000
3941.779, 6.165, 162.000
4104.726, 3.079, 324.000
4429.530, 0.301, 3324.000
7755.019, 4.301, 232.000
7987.767, 7.901, 126.000
8114.997, 10.641, 93.000
8208.825, 12.107, 82.000
8291.893, 13.426, 74.000
8366.884, 14.113, 70.000
8437.813, 14.232, 70.000
8508.867, 13.839, 72.000
8581.901, 12.485, 80.000
8663.046, 11.266, 88.000
8752.224, 9.670, 103.000
8856.291, 7.733, 129.000
8986.996, 5.990, 166.000
9153.903, 3.921, 255.000
9410.406, 2.058, 485.000
9896.368, 0.883, 1132.000
11029.599, 0.824, 1213.000
12244.299, 2.772, 360.000
12605.585, 4.525, 221.000
12827.700, 6.102, 163.000
12991.947, 7.522, 132.000
13125.390, 8.300, 120.000
13246.386, 8.500, 117.000
13364.632, 8.680, 115.000
13480.612, 7.842, 127.000
13608.764, 7.088, 141.000
13751.113, 5.909, 169.000
13921.110, 4.848, 206.000
14128.128, 3.393, 294.000
14423.575, 2.084, 479.000
14903.768, 1.406, 711.000
15616.032, 1.295, 772.000
16389.535, 2.195, 455.000
16845.829, 3.506, 285.000
17131.937, 4.685, 213.000
17346.154, 5.247, 190.000
17537.101, 5.752, 173.000
17711.410, 6.207, 161.000
17873.646, 5.616, 178.000
18052.577, 5.085, 196.000
18249.569, 4.106, 243.000
18493.888, 3.226, 310.000
18804.825, 2.433, 411.000
19217.070, 1.720, 581.000
19799.652, 1.578, 633.000
20434.009, 2.450, 408.000
20843.407, 3.735, 267.000
21111.737, 4.391, 227.000
21340.089, 4.982, 200.000
21541.059, 5.514, 181.000
21723.522, 4.993, 200.000
21924.929, 4.523, 221.000
22147.415, 4.101, 243.000
22391.613, 3.721, 268.000
22660.994, 2.879, 347.000
23009.277, 2.621, 381.000
23391.346, 2.389, 418.000
23810.363, 2.180, 458.000
24269.431, 2.992, 334.000
24604.672, 3.723, 268.000
24873.719, 4.381, 228.000
25103.321, 3.972, 251.000
25355.630, 3.605, 277.000
25633.717, 3.275, 305.000
25939.878, 2.977, 335.000
26276.512, 2.710, 369.000
26647.009, 2.469, 405.000
27053.561, 2.252, 444.000
27499.160, 3.057, 327.000
27827.599, 3.781, 264.000
28092.541, 4.433, 225.000
28319.041, 5.020, 199.000
28519.523, 4.548, 219.000
28739.730, 4.123, 242.000
28983.038, 3.741, 267.000
29251.497, 2.896, 345.000
29597.703, 2.637, 379.000
29978.063, 2.403, 416.000
30395.632, 2.193, 456.000
30852.803, 3.004, 332.000
31186.042, 3.733, 267.000
31454.219, 4.390, 227.000
31682.507, 3.981, 251.000
31934.463, 3.613, 276.000
32211.738, 3.282, 304.000
32516.995, 2.983, 335.000
32853.675, 2.715, 368.000
33222.920, 2.474, 404.000
33628.327, 2.256, 443.000
34072.715, 3.061, 326.000
34399.970, 3.784, 264.000
34665.511, 4.436, 225.000
34891.674, 5.022, 199.000
35092.368, 4.550, 219.000
35312.797, 4.125, 242.000
35556.157, 3.743, 267.000
35824.690, 2.898, 345.000
36170.840, 2.639, 378.000
36550.234, 2.405, 415.000
36966.343, 2.194, 455.000
37422.852, 3.005, 332.000
37756.083, 3.734, 267.000
38024.352, 4.391, 227.000
38252.413, 3.982, 251.000
38505.042, 3.614, 276.000
38782.154, 3.282, 304.000
39087.570, 2.984, 335.000
39423.852, 2.716, 368.000
39793.207, 2.474, 404.000
40198.663, 2.257, 443.000
40643.284, 3.061, 326.000
40970.671, 3.785, 264.000
41236.005, 4.436, 225.000
41462.051, 5.023, 199.000
41662.518, 4.550, 219.000
41882.813, 4.125, 242.000
42126.221, 3.743, 267.000
42394.639, 2.899, 344.000
42739.882, 2.639, 378.000
43118.987, 2.405, 415.000
43535.588, 2.194, 455.000
43991.859, 3.005, 332.000
44325.055, 3.734, 267.000
44593.404, 4.391, 227.000
44821.501, 3.982, 251.000
45073.760, 3.614, 276.000
45351.351, 3.282, 304.000
45656.632, 2.984, 335.000
45992.546, 2.716, 368.000
46362.063, 2.474, 404.000
46767.469, 2.257, 443.000
47211.799, 3.061, 326.000
47539.263, 3.785, 264.000
47804.521, 4.436, 225.000
48030.931, 4.023, 248.000
48280.045, 3.651, 273.000
48554.628, 3.315, 301.000
48856.843, 3.014, 331.000
49189.105, 2.743, 364.000
49554.500, 2.498, 400.000
49955.776, 3.278, 305.000
50262.007, 3.981, 251.000
50514.692, 3.613, 276.000
50792.354, 3.281, 304.000
51097.609, 2.983, 335.000
51434.152, 2.715, 368.000
51802.860, 3.473, 287.000
52091.330, 3.156, 316.000
52408.437, 2.870, 348.000
52757.695, 3.613, 276.000
53034.988, 3.282, 304.000
53339.975, 2.984, 335.000
53676.220, 3.715, 269.000
53946.441, 3.374, 296.000
54243.738, 3.067, 326.000
54571.223, 2.790, 358.000
54930.305, 3.541, 282.000
55213.918, 3.217, 310.000
55525.072, 2.925, 341.000
55867.290, 3.663, 273.000
56141.960, 3.326, 300.000
56443.293, 3.024, 330.000
56774.770, 2.751, 363.000
57139.003, 3.506, 285.000
57424.928, 4.186, 238.000
57664.136, 3.797, 263.000
57928.729, 3.447, 290.000
58220.277, 3.133, 319.000
58540.780, 2.849, 350.000
58891.591, 2.594, 385.000
59277.676, 2.365, 422.000
59700.824, 3.158, 316.000
60018.361, 3.873, 258.000
60277.649, 4.515, 221.000
60500.018, 4.094, 244.000
60745.448, 3.714, 269.000
61015.668, 3.373, 296.000
61313.026, 3.066, 326.000
61640.689, 2.789, 358.000
61999.804, 2.540, 393.000
62393.942, 2.316, 431.000
62826.333, 3.115, 321.000
63149.284, 3.833, 260.000
63410.705, 4.480, 223.000
63635.128, 4.062, 246.000
63882.290, 3.686, 271.000
64154.554, 3.347, 298.000
64453.641, 3.042, 328.000
64783.059, 2.768, 361.000
65145.625, 2.521, 396.000
65543.069, 2.299, 434.000
65978.571, 3.099, 322.000
66302.083, 3.819, 261.000
66564.550, 4.467, 223.000
66789.177, 4.051, 246.000
67036.820, 3.676, 272.000
67309.997, 3.338, 299.000
67610.292, 3.034, 329.000
67940.523, 2.761, 362.000
68303.623, 2.515, 397.000
68701.602, 3.293, 303.000
69005.819, 3.994, 250.000
69256.787, 3.625, 275.000
69533.089, 3.292, 303.000
69837.286, 2.993, 334.000
70172.865, 2.724, 367.000
70541.507, 2.481, 403.000
70945.751, 3.263, 306.000
71252.605, 3.967, 252.000
