time, lambda, packet_interval
101263.502, 4.677, 213.000
101477.711, 3.941, 253.000
101731.721, 3.353, 298.000
102031.011, 2.883, 346.000
102378.691, 2.506, 399.000
102778.405, 3.805, 262.000
103041.562, 3.244, 308.000
103350.471, 2.795, 357.000
103708.496, 4.036, 247.000
103956.560, 3.429, 291.000
104248.683, 2.943, 339.000
104588.853, 2.554, 391.000
104980.873, 3.844, 260.000
