time, lambda, packet_interval
69876.267, 3.367, 297.000
70174.903, 3.307, 302.000
70478.267, 3.265, 306.000
70785.872, 3.235, 309.000
71096.078, 3.215, 311.000
71408.175, 3.200, 312.000
71721.827, 3.190, 313.000
72036.200, 3.183, 314.000
72351.700, 3.178, 314.000
72666.700, 3.175, 314.000
72982.285, 3.172, 315.000
73298.384, 3.171, 315.000
73614.542, 3.369, 296.000
